този;this one
придвижване;movement
сенат;the senate
избухване;outbreak
продумам;I will think
психолог;psychologist
живопис;painting
дискриминация;discrimination
БГ;BG
врачански;Vratsa
мирослав;мирослав
хартиен;paper
отечество;fatherland
персонален;personal
Лу;Lou
do;to
градя;building
наводнение;flood
закриване;closing
осъждам;I condemn
смая;amazement
разваля;spoils
кит;whale
устоя;resist
ценя;appreciate
поименен;named
уилямс;williams
закрача;he steps
изпъна;stretched
Прищина;Pristina
параход;steamer
заредя;charge
изсипя;poured
пирински;Pirin
водопад;waterfall
копито;hoof
датски;Danish
записка;note
връзкасчл;link art
обидя;offended
отгледам;I raise
предател;traitor
пулс;pulse
елитен;elite
копнея;I long
разкъсвам;tear
джаз;jazz
туря;tour
разбивам;I break
възвишение;elevation
възпаление;inflammation
задържам;hold
новост;news
нотка;note
ателие;studio
военноморски;naval
насила;by force
натрупване;accumulation
миличък;darling
мълния;lightning
редом;next to
рибарство;fisheries
долетя;flew
подалеч;away
поднасям;I present
маршал;Marshal
сак;sac
дизайнер;designer
закривам;I close
игрище;playground
фланелка;T-shirt
кабелен;cable
смажа;fry
супа;soup
легион;legion
шоколад;chocolate
кесия;purse
брокер;broker
дозировка;dosage
крепя;fastening
зет;son-in-law
намеся;interference
тухла;brick
Гордън;Gordon
001;1
помъча;tormented
Перин;Perrin
александра;Alexander
искър;spark
стадий;stages
токсичен;toxic
предателство;betrayal
разкопки;excavation
срамувам;ashamed
княжество;principality
несъответствие;discrepancy
dot;dot
200px;200px
митрополит;Metropolitan
консенсус;consensus
капачка;cap
съумея;I managed
просторен;spacious
ре;re
сърдито;angrily
возя;driving
енд;end
смета;estimates
звънец;bell
постъпление;income
навечерие;in the evening
129;129
интерферон;interferon
клет;cage
сетиво;sense
станислав;Stanislav
формален;formal
джени;Jenny
амбициозен;ambitious
доставям;I deliver
облик;appearance
отнемане;withdrawal
хълбок;hip
парцал;rag
понататъшен;further
натъпча;stuffed
дълготраен;long lasting
135;135
Сюзан;Susan
настаняване;accommodation
охранителен;security
England;England
вера;faith
изчистя;clear
математически;mathematically
нулев;zero
потопя;drowned
номинирам;nominate
парен;steam
софтуерен;software
University;University
домат;tomato
пирин;pirin
заработя;earn
Евратом;Euratom
нищожен;void
смачкам;crush
хуманен;humane
излетя;took off
митев;mitev
осветен;lit
придворен;courtier
съчинение;essay
that;that
крилат;winged
156;156
тича;running
даниела;daniela
докъде;to where
облея;flood
comarca;comarca
изникна;emerged
сбирка;collection
Джейми;Jamie
мамка;mother
дисциплинарен;disciplinary
Xn;Xn
даря;gift
хазна;treasury
търкалям;I'm rolling
вирджиния;virginia
григоров;Grigor
уговорка;reservation
15%;15%
барака;barracks
безопасно;safe
либийски;Libyan
тумор;tumor
благотворителен;charitable
възпитам;bring up
конюшня;stable
ревност;jealousy
дева;virgin
актьорски;acting
броен;counted
удължаване;extension
морис;Maurice
старинен;ancient
енциклопедия;encyclopedia
всевъзможен;all possible
отклонявам;deviate
нарежа;cut
каталог;catalog
1957;1957
Press;Press
меса;meat
оток;swelling
удобство;convenience
хармония;harmony
иден;iden
щедър;generous
Луций;Lucius
повлиян;influenced
фармакокинетичен;pharmacokinetic
предозиране;overdose
митинг;rally
Юнайтед;United
диета;diet
почивен;rested
COM;COM
стрелна;arrow
любовница;mistress
уелс;Wales
бисер;beads
законно;legally
екзотичен;exotic
прислужница;maid
къщичка;house
метаболизъм;metabolism
основателен;reasonable
конкурентоспособност;competitiveness
молдова;Moldova
навеждам;bend down
назова;name
обожавам;I adore
псевдоним;alias
запознавам;meet
котва;anchor
склонност;propensity
СК;SC
поземлен;grounded
Ваймс;Vimes
координата;the coordinate
заинтересуван;interested
печен;baked
белгийски;Belgian
раздразнение;irritation
беглец;fugitive
дипломирам;I'm graduating
Луси;Lucy
пакистан;Pakistan
миля;mile
откроявам;stand out
US;US
сирия;Syria
клатя;shakes
ковачев;Kovachev
размина;the gap
членувам;I am a member
asp;asp
блеър;blair
подреждам;arrange
възпрепятствам;hinder
араб;Arabic
разпитам;I ask
симпатичен;cute
денис;Denis
намисля;I thought
претендирам;I claim
кутийка;box
чума;plague
завещание;will
наново;again
натура;nature
вратовръзка;tie
панайотов;panayots
800;800
застраховам;insure
ритонавир;ritonavir
бензиностанция;gas station
пренос;transmission
Ен;Anne
По;By
развалина;wreck
страстен;passionate
допир;touch
приготвяне;preparation
умствен;mental
чадър;umbrella
пътешественик;traveler
съгласявам;I agree
AUC;AUC
гал;gal
съвещание;meeting
елиминирам;eliminate
разпределяне;distribution
Тейлър;Taylor
празничен;festive
работнически;working
възприемам;I perceive
слушател;listener
отдалеч;from afar
стаичка;room
изключване;shutdown
римлянин;Roman
сполетя;happened
стойчев;standing
фут;ft
почест;honor
модифицирам;modify
одит;audit
рена;rena
вкусен;delicious
хищник;predator
персийски;Persian
наметало;cloak
гама;gamma
черноморски;Black Sea
достижение;achievement
осветявам;illuminate
разбираем;we understand
костен;bone
дефект;defect
пламтя;blazing
индикатор;indicator
черпя;draw
чили;chili
индиански;Indian
обвивка;shell
познато;familiar
присъствувам;attend
азиатски;Asian
1918;1918
андре;andre
съвзема;recovers
750;750
коренен;root
ай;ah
отключа;unlocked
цанков;цанков
орех;Walnut
утеха;consolation
скова;forging
котел;boiler
отгатна;he guessed
жп;railway
звън;ringing
прозорче;window
VII;VII
ите;ite
навия;wind
слея;merge
джин;gin
засека;notch
мислено;mentally
отблъсквам;repel
ремарке;trailer
учудено;surprised
Роуз;Rose
изразходвам;spend
втренчен;staring
довод;argument
ненавиждам;I hate
корица;cover
разкошен;gorgeous
скривалище;hiding place
измамя;cheat
иновация;innovation
неудържим;unstoppable
Аз;I
ели;eat
конструирам;construct
оправдание;justification
Наймного;At least
сгъна;folded
отсреща;opposite
символичен;symbolic
единадесет;eleven
киров;киров
обезпокоя;disturbing
фундаментален;fundamental
класик;classic
оглавя;heads
очаровам;charm
свит;suite
плакат;poster
анкета;questionnaire
крум;krum
поскъпна;more expensive
милена;milena
поднос;tray
хилядолетие;millennium
преобърна;turned over
соня;sonya
стоичков;stoichkov
заседател;juror
преразгледам;reconsider
титуляр;holder
CPA;CPA
разсъждение;reasoning
претърся;searched
неизменно;invariably
спирачен;braking
преброя;count
динамика;dynamics
пониско;lower
разчет;estimate
сепна;startled
Санта;Santa
гумен;rubber
изчаквам;I'm waiting
съседка;neighbor
дързък;bold
жаба;frog
убедителен;convincing
докосване;touch
диана;diana
миниатюрен;miniature
мъчително;painful
покачване;rise
сражавам;I'm fighting
кадров;personnel
разреждане;dilution
суспензия;suspension
кооперативен;cooperative
обятия;hugs
побъркам;I go crazy
секретариат;secretariat
133;133
надлежно;properly
разстроя;disorder
участ;fate
добричък;kind
понасея;ponaseya
отопление;heating
екзархия;exarchate
Джонсън;Johnson
резиденция;residence
безспорен;indisputable
имунен;immune
устроя;device
ЗУТ;HERE
поверителен;confidential
антитела;antibodies
инстанция;instance
припадна;fainted
солидарност;solidarity
Дъмбълдор;Dumbledore
изпищя;he screamed
наймалък;the smallest
стихия;element
повлека;dragged
предан;devoted
бум;boom
счетоводител;accountant
татяна;Tatiana
топля;warm
холивуд;hollywood
145;145
означение;designation
меню;menu
учтиво;politely
митко;mitko
лука;onions
m2;m2
ас;as
застрашавам;threaten
идеологически;ideologically
обр;arr
камила;camel
GmbH;GmbH
вихър;whirlwind
дълбина;depth
изчерпам;exhausted
наместя;instead
досаден;annoying
шарл;Charles
шише;bottle
location;location
греъм;graham
чудовищен;monstrous
стимулиране;stimulation
80%;80%
експлоатационен;operational
сребрист;silver
еволюция;evolution
изкушение;temptation
наградя;reward
сияя;shining
хотелски;hotel
огнян;fiery
доверявам;I trust
погубя;ruin
теодор;theodore
бонев;бонев
искрено;sincerely
батальон;battalion
разпознавам;recognize
усъвършенстване;improvement
средновековие;the Middle Ages
водка;vodka
държавитечленки;Member States
дрога;drugs
ВС;ВС
наливам;I pour
прилика;resemblance
мосю;monsieur
соколов;falcons
мишница;arm
перла;pearl
120;120
държане;holding
"];";"];"
ед;ed
HIV;HIV
единединствен;one and only
поважно;seriously
люси;Lucy
сандански;Sandanski
обградя;encloses
изтребител;fighter
голф;golf
дуя;blowing
монопол;monopoly
дъмпингов;dumping
имуществен;property
понижаване;reduction
празненство;celebration
оптимален;optimal
вра;lie
черво;worm
злоба;malice
изобилие;abundance
пъстър;colorful
етика;ethics
коз;goats
стабилизирам;stabilize
козина;fur
подозрително;suspicious
хърбърт;herbert
величина;magnitude
латиница;Latin
учреждение;institution
приспособление;device
маниер;manner
откуп;ransom
подправка;spice
МС;MS
инсталирам;install
пленарен;plenary
cm;cm
преобразувам;convert
квадрат;square
виденов;videos
добруджа;dobruja
социологически;sociologically
спасяване;rescue
фрагмент;fragment
връхлетя;rushed
поздравявам;congratulations
40%;40%
прословут;will become famous
авиация;aviation
пищя;food
плач;cry
справочник;directory
престилка;apron
bordered;bordered
Дънкан;Duncan
изобразявам;depict
обор;abortion
ІІ;ІІ
фаворит;favorite
зид;wall
Саркози;Sarkozy
поискване;request
наличност;availability
1919;1919
падеж;case
южно;south
доволно;satisfied
уязвим;vulnerable
завършен;completed
НЕК;НЕК
проточа;strait
седмичен;weekly
изсъскам;I hiss
самоков;females
1903;1903
безгрижен;carefree
жаден;thirsty
бактерия;bacteria
фокусирам;focus
цилиндър;cylinder
участвувам;I participate
евросъюз;the European Union
показателен;indicative
приоритетен;priority
тихичко;quietly
казахстан;Kazakhstan
челен;forehead
озадача;puzzle
перо;feather
неудобно;uncomfortable
ДАНС;DANCE
катя;katya
шахта;mine
AI;AI
инженеринг;engineering
поемане;taking over
ситен;small
саудитски;Saudi
въртене;rotation
неизпълнение;default
ваня;bath
дъждовен;rainy
sa;in
разтварям;dissolve
1923;1923
напречен;transverse
1938;1938
здравата;healthy
опаковам;pack
подълъг;longer
химия;chemistry
оградя;fence
инфузия;infusion
кърпичка;handkerchief
заприличам;I look like
постеля;bed
руда;ore
промъквам;sneak up
савов;савов
Ж;Ž
Милошевич;Milosevic
непреодолим;insurmountable
неудобство;inconvenience
127;127
разсеяно;distracted
затруднявам;make it difficult
звуков;sounds
населя;population
тираж;circulation
зяпам;gape
несигурност;uncertainty
u;u
химн;anthem
застава;outpost
оскъден;scarce
селце;the village
сервизен;service
спестяване;saving
трансплантация;transplantation
побелея;turned white
безмълвен;speechless
графичен;graphic
инфаркт;heart attack
пълня;filling
заповядвам;I command
излекувам;cure
няколкото;several
тласък;push
шампанско;champagne
мушна;fly
опонент;opponent
владимиров;vladimirov
железница;railway
неподходящ;inappropriate
обиждам;offend
туроператорска;tour operator
игор;games
опция;option
подобие;similarity
катерина;Catherine
обобщя;generalized
мокря;wet
параклис;Chapel
стон;moan
местонахождение;location
неразделен;inseparable
скулптура;sculpture
изгаряне;burning
инспекторат;inspectorate
операционен;operating
мошеник;swindler
плен;captivity
старателно;thoroughly
транс;trans
периферен;peripheral
нотификация;notification
Southeast;Southeast
пристанищен;port
магистър;master
Джейкъб;Jacob
конструктивен;constructive
допреди;prior to
роса;dew
камъче;pebble
съчетавам;combine
изписан;written out
die;the
маневра;maneuver
хасковски;Haskovo
самообладание;self-control
казарма;barracks
замисъл;idea
пеша;on foot
схващане;perception
230;230
сгреша;wrong
обозначение;designation
репортаж;report
лъжица;spoon
райън;Ryan
ВМОРО;VMORO
женитба;marriage
бозайник;mammal
стойков;racks
разделям;I divide
срив;breakdown
канапе;sofa
силвия;Sylvia
станчев;stanchev
едномесечен;one month
конфедерация;confederation
боли;it hurts
свръхчувствителност;hypersensitivity
найголеми;the largest
соломон;Solomon
Майлс;Miles
арена;arena
интервенция;intervention
кристина;Christina
значимост;significance
наполеон;Napoleon
Вж;See
мастен;fat
1954;1954
вол;vol
ДС;DS
мръдна;moved
безмълвно;silently
дестинация;destination
Лари;Larry
лъки;bows
пропорционален;proportional
санитарен;sanitary
симпатия;sympathy
Нед;Sun.
аба;or
братовчедка;cousin
ганчев;ganchev
дъбов;oak
опазя;guard
ЕАСТ;EFTA
археолог;archaeologist
понижение;decrease
Хил;Hill
звънна;rang
гранича;borders
емблема;emblem
монтажен;mounting
сваря;boils
идентичен;identical
настъпване;occurrence
петя;fifth
XIV;XIV
волен;free
надничам;I peek
Франсис;Francis
йерархия;hierarchy
ханс;Hans
ТВ;TV
авеню;avenue
повърхностен;superficial
сертифициране;certification
пулсирам;pulsate
ректор;rector
превозвам;I carry
допускане;admission
последовател;follower
дочакам;I will wait
костенурка;turtle
Джордан;Jordan
обмислям;I'm thinking
Джесика;Jessica
вратичка;door
меря;measure
огнянов;fires
печеливш;profitable
внушавам;I suggest
стамболов;stambolov
аналогичен;analogous
Рурк;Rourke
1989;1989
култ;cult
À;À
несебър;Nessebar
Уеб;Web
разигравам;I'm playing
paddingleft;padding lift
иконом;butler
замразен;frozen
завист;envy
избухвам;erupt
многозначителен;significant
70%;70%
партизанин;partisan
смъртност;mortality
подкана;prompt
©;©
горещина;heat
изнася;exports
стрелка;arrow
омръзна;tired
придържа;adheres
лакта;elbow
пяна;foam
делта;delta
кадастрален;cadastral
обработване;processing
забъркам;I get confused
спогледам;I look
хирург;surgeon
божество;deity
обеся;hang up
Ф;Ф
здание;building
извършител;perpetrator
кичур;locks
ревизия;revision
славов;glory
Таймс;Times
засада;ambush
обърквам;confuse
вулкан;volcano
ката;kata
кошер;hive
алиса;alice
дейвис;davis
печален;sad
154;154
велосипед;bicycle
квалифицирам;qualify
погребален;funeral
комин;chimney
подигравам;I make fun of
сваляне;download
backgroundcolor;backgroundcolor
електроника;electronics
настилка;flooring
светия;saints
мл;Jr.
Франц;Franz
30px;30px
насамнатам;here and there
спирала;spiral
@;@
www;www
БФС;BFU
незабавен;immediate
муцуна;muzzle
британец;British
глюкоза;glucose
І;And
митология;mythology
[];[]
парфюм;perfume
трудя;I work
1936;1936
1924;1924
гълъб;pigeon
ипотечен;mortgage
подире;after
храсталак;bush
наближа;approaching
обезумея;madness
абе;abe
епидемия;epidemic
раница;backpack
le;le
контингент;contingent
олово;lead
шестдесет;sixty
шах;chess
мишена;target
тукашен;local
фридрих;Friedrich
свлека;slew
отстоявам;I stand up
униформен;uniform
280;280
дамски;ladies
ди;di
имигрант;immigrant
отпадам;I drop out
поклащам;I'm shaking
осмеля;dare
вбеся;vbesya
чар;charm
пропаганда;propaganda
отличителен;distinctive
достигане;reaching
кучешки;canine
175;175
владислав;vladislav
патрул;patrol
паяк;spider
адресат;the addressee
беларус;Belarusian
удовлетворявам;satisfy
bTV;bTV
съпроводя;accompany
ядосвам;I get angry
изработвам;make
елин;елин
разбит;broken
емигрант;emigrant
марш;march
плаване;sailing
заплача;cries
храброст;courage
всекидневник;daily newspaper
транзит;transit
условен;conditional
придърпам;pull
Тед;Ted
недопустим;inadmissible
сърдит;angry
съпровождам;accompany
Б92;B92
рейс;flight
ММО;IMO
императорски;imperial
севширина;sevshirina
бразилски;Brazilian
божков;idols
изтдължина;length
широчина;width
колумбия;Colombia
джери;Jerry
изкривя;distorts
сорткат;sortkat
Сидеров;Siderov
ремък;belt
колектив;team
136;136
тримесечен;quarterly
габровски;gabrovski
страсбург;Strasbourg
разтреперан;trembling
изживея;survived
непревишаващ;not exceeding
почерк;handwriting
пукнатина;crack
сгуша;thicken
250п;250p
вдигане;lifting
оригинално;original
пеперуда;butterfly
нравствен;moral
озаглавя;titled
масив;array
стоев;standing
копая;digging
Фреди;Freddy
безпомощно;helpless
инстинктивно;instinctively
парапет;railing
Ю;Yu
захариев;Zechariah
хасан;hasan
изругая;swearing
Z;Z
Ласитър;Lassiter
спусък;trigger
1935;1935
боров;hogs
бостън;boston
палма;palm tree
прегръщам;hug
Корбет;Corbett
лансирам;launch
СУ;SU
разпилея;scatter
растителност;vegetation
юрий;Yuri
TO;TO
Артър;Arthur
еврокомисар;European Commissioner
румяна;blush
захапя;capture
недоумение;bewilderment
отслабна;lost weight
прашен;dusty
езда;riding
прекрача;stepped over
восък;wax
горичка;grove
наставник;mentor
подобавам;I deserve it
поясно;belt
възбуден;turned on
нахлувам;invade
min;min
венеция;Venice
непроменен;unchanged
спомагателен;auxiliary
домакински;household
свод;vault
нередност;irregularity
подозрителен;suspicious
евгений;Eugene
оборище;oborishche
пропадна;failed
Каупъруд;Cowperwood
виновник;the culprit
здрач;twilight
свиреп;ferocious
сътворя;create
ускорен;accelerated
насърча;encouraged
Ердоган;Erdogan
маркиз;Marquis
типично;typically
умело;skillfully
цирк;circus
Дмитрий;Dmitry
маги;magicians
проблема;the problem
улеснявам;facilitate
оперен;opera
хватка;grip
заличаване;deletion
пълноценен;complete
найголямо;the biggest
падам;I will fall
сливенски;Sliven
`;`
µg;South
Зеландия;Zealand
антена;antenna
сроден;related
−;-
петел;cock
ограбя;rob
салата;salad
удовлетворя;satisfies
старчески;senile
нелеп;ridiculous
керамичен;ceramic
машинен;machine
174;174
договаряне;negotiation
обраста;overgrowth
слепоочие;temple
микрограма;microgram
извеждам;bring out
джаксън;jackson
едногодишен;one year old
изявя;manifests
наземен;terrestrial
пенсионирам;I retire
крепостен;serf
нежелание;reluctance
притежание;possession
координатор;coordinator
мастило;ink
възмущение;outrage
div;div
отвсякъде;from everywhere
коктейл;cocktail
повредя;damage
приемник;receiver
сладко;sweet
Монте;Monte
омагьосам;enchantments
производителност;productivity
чернокож;black
468;468
височество;highness
напредназад;back and forth
поддавам;give in
стамболийски;Stamboliiski
тоалет;toilet
хапче;pill
персонаж;character
дигна;digna
добродетел;virtue
обсада;siege
филчев;filchev
19121913;19121913
есе;essay
вливам;I pour
Санкт;St.
бродя;wandering
инвалид;disabled
вирусен;viral
неохотно;reluctantly
забързам;hurry up
късче;piece
Картър;Carter
укрепя;strengthens
унеса;унеса
евродепутат;MEP
свалям;download
трансформация;transformation
отдих;rest
схватка;fight
Хелън;Helen
безсъзнание;unconsciousness
коварен;devious
явор;maple
1925;1925
въздействам;affect
многогодишен;perennial
надзирател;overseer
сноп;sheaf
къпя;bathe
възстановен;restored
Слейд;Slade
отстранявам;remove
хипертония;hypertension
цариградски;Constantinople
дебит;flow rate
спиртен;alcohol
регистриране;registration
топя;melts
дейв;dave
претегля;weighs
ферари;Ferrari
памучен;cotton
прожектор;searchlight
конен;equestrian
купе;coupe
мотоциклет;motorcycle
Банк;Bank
донор;donor
дора;dora
миньор;miner
налог;tax
перфектен;perfect
странно;strange
завет;covenant
разтоварване;unloading
калоян;caloyan
ориентир;landmark
заблуждавам;mislead
отвеждам;take away
марио;Mario
усилено;intensively
лихтенщайн;liechtenstein
влиятелен;influential
флора;flora
механик;mechanic
поканвам;I invite
съвместим;compatible
not;not
оксид;oxide
хала;hall
isbn;isbn
атмосферен;atmospheric
дара;gift
вампир;vampire
глина;clay
манипулация;manipulation
Paris;Paris
братство;fraternity
клубен;tuber
княгиня;the princess
команден;command
стабилизиране;stabilization
енергично;vigorously
преглеждам;reviewing
радиоактивен;radioactive
преоблека;disguise
химиотерапия;chemotherapy
доближавам;approaching
изработка;workmanship
херцогиня;the Duchess
враждебен;hostile
новороден;newborn
булгаргаз;Bulgargaz
релса;rail
усъвършенствам;perfect
проблесна;flashed
аналог;analog
жалост;pity
презрително;contemptuously
131;131
контрабанда;smuggling
атрактивен;attractive
помълча;he was silent
Триадица;Triaditsa
опъна;stretched
древност;antiquity
1930;1930
завиждам;I envy
очен;eye
трупа;corpse
задъхан;panting
solid;solid
изкупя;redeem
оптимизъм;optimism
лукс;luxury
микроорганизъм;microorganism
муле;mule
сингъл;single
сливам;merge
армейски;army
харис;haris
It;It
здравноосигурителен;health insurance
извънземен;alien
мариана;Mariana
изричам;I say
възразявам;I object
подмина;passed
жана;wife
px;px
идеално;perfect
режисура;directing
дизелов;diesels
извисявам;elevate
минчев;minchev
монарх;monarch
пресегна;he reached out
употребя;use
декоративен;decorative
http;http
виенски;Viennese
мургав;dark brown
кюстендилски;Kyustendil
пенчев;penchev
безполезен;useless
кучка;bitch
тропически;tropical
Ем;Em
наведнъж;at once
разтърсвам;shake
сладка;sweet
грабеж;robbery
зрителен;visual
патент;patent
вдъхна;he breathed
еквивалент;equivalent
чертеж;drawing
ru;ru
Бейли;Bailey
диригент;director
незабелязано;unnoticed
кътче;corner
дреболия;trifle
рой;swarm
You;You
подслушвам;eavesdrop
190;190
мексикански;Mexican
шейх;sheikh
корито;trough
протягам;I stretch
трофей;trophy
замахна;swung
иванка;Ivanka
походка;gait
връзвам;tie
галактика;galaxy
изоставам;fall behind
дистанционен;remote
трептя;flickering
предупредителен;warning
токио;Tokyo
дук;duke
духовник;clergyman
набиране;dialing
убедително;convincing
ансамбъл;ensemble
берлински;Berlin
тексас;Texas
Джи;Gee
бъркотия;mess
гърмя;thunder
енергичен;energetic
естетически;aesthetically
разстройство;disorder
свищов;fistula
тъпча;tread
воня;stink
птичка;bird
грим;makeup
лик;character
натискам;I press
съучастник;accomplice
безразличие;indifference
лелея;cherish
бо;bo
пренасяне;carrying
теодора;theodore
бреме;burden
фалирам;bankrupt
фердинанд;ferdinand
изсъхна;dried up
закана;law
страховит;scary
партизански;partisan
1937;1937
качулка;hood
отправям;I send
численост;number
замра;froze
круша;pear
уравнение;equation
засрамя;embarrassed
застроя;building
чревен;intestinal
Ейми;Amy
напирам;I'm pushing
найвисоката;the highest
факел;torch
фотограф;photographer
Р·Р°;Р · Р °
VIII;VIII
артистичен;artistic
показалец;pointer
триъгълник;triangle
желязков;iron
прицел;sight
първенец;champion
шпага;sword
правоотношение;legal relationship
интензивен;intense
методи;methods
поконкретно;specifically
сватбен;wedding
1933;1933
задължен;obliged
вълнен;woolen
Кънчев;Kanchev
Реал;Real
графство;county
надвисна;overhanging
полюс;pole
арабия;Arabia
разновидност;variety
рождение;birth
Чарлс;Charles
бояджиев;painters
усилвам;amplify
облага;benefit
юрисдикция;jurisdiction
Уолтър;Walter
14дневен;14 days
ХП;HP
сапун;soap
пресъхна;dried up
съдов;vascular
блуза;blouse
осъден;convicted
ремонтирам;I'm repairing
шествие;procession
предприемачество;entrepreneurship
132;132
внуша;унуша
ка;ka
предпазливост;caution
виц;vice
напрегнат;tense
неделен;Sunday
неясно;unclear
разгърна;unfolded
IT;IT
трамвай;tram
диоксид;dioxide
излитане;take-off
консулство;consulate
делегирам;I delegate
Дийн;Dean
йон;ion
обвинителен;accusatory
гуша;goose
подиум;podium
росица;dewdrop
живеещ;living
треса;tremor
Мод;Mod
САПАРД;SAPARD
жилетка;vest
четник;Chetnik
електромагнитен;electromagnetic
избивам;kill
лиза;Lisa
срина;collapsed
управник;manager
пищен;lavish
удовлетворение;satisfaction
будапеща;Budapest
148;148
диария;diarrhea
пладне;noon
Конрад;Conrad
извивка;curve
невъзмутим;unperturbed
тазгодишен;this year
впусна;let in
потоп;flood
хлътна;sunk
отчетност;accountability
предградие;suburb
сек;sec
слепя;blind
текстил;textiles
нащрек;alert
обсег;range
цев;цев
сравнителен;comparative
вада;water
идентифициране;identification
Pharma;Pharma
възобновя;resumes
text;text
занятие;occupation
гениален;ingenious
филипов;Philip
неутрален;neutral
бляскав;glamorous
разперя;spread out
тери;terry
флорида;Florida
образовам;educate
vitro;in vitro
Сет;Seth
чавдар;chavdar
глобализация;globalization
дозиране;dosing
задушавам;suffocate
замразя;froze
бара;bar
скучен;boring
интегриране;integration
нетърпелив;impatient
нота;note
екатте;ekatte
кръвоизлив;hemorrhage
самоубия;suicide
w;w
вокал;vocals
безразличен;indifferent
промоция;promotion
подълбоко;deeper
усъмня;doubts
хонорар;fee
водород;hydrogen
навлека;dragged
подменя;replacement
стипендия;scholarship
диалект;dialect
портиер;porter
припомням;I remember
решителност;determination
ругая;scolding
скитам;I wander
поданик;subject
FR;FR
Алфред;Alfred
героиня;the heroine
наложен;imposed
заболея;get sick
УПИ;UPI
настъпление;offensive
социолог;sociologist
барел;barrel
видимост;visibility
заставам;I stop
учредяване;establishment
Windows;Windows
гдето;somewhere
белодробен;lung
алуминий;aluminum
състезателен;racing
великан;giant
касета;cassette
прережа;cut
Грант;Grant
взривен;blown up
обознача;denotes
оживен;lively
оръжеен;armed
Луиза;Louise
разкритие;disclosure
рева;roar
ежедневно;daily
зараза;infection
РС;RS
актуализиране;update
единайсет;eleven
кобила;mare
побеснея;enraged
крася;beauty
екскурзия;excursion
мръсотия;dirt
пазарджишки;shopping
франциско;Francisco
въглен;charcoal
SETimes;SETimes
другояче;otherwise
казино;casino
презирам;I despise
икономия;savings
превръзка;bandage
ураган;hurricane
von;von
изпразня;emptied
специфика;specifics
обвързвам;bind
стефана;Stefan
козел;goat
отрупам;poison
неспокойно;restless
превъзходен;superb
Population;Population
повлиявам;influence
потър;potter
населениегодина;populationyear
избягване;avoidance
1908;1908
въпросник;questionnaire
кървене;bleeding
лилия;lily
поддам;I will give
продажен;sold
снаряд;projectile
счета;accounts
дистрибутор;distributor
капитализъм;capitalism
приемен;accepted
зра;зра
отекна;swelled
FFFFFF;FFFFFF
приватизирам;privatize
визирам;I'm aiming
черноморие;Black Sea coast
вълчи;wolves
гадже;boyfriend
провинциален;provincial
Acute;Acute
ирбесартан;irbesartan
порция;portion
ноздра;nostrils
Мануел;Manuel
почиствам;I'm cleaning
тревожно;anxious
CE;CE
EИО;EEC
Limited;Limited
надя;hope
преференциален;preferential
съгласуване;coordination
Bank;Bank
документирам;I document
изгрявам;rise
хосе;Jose
изливам;pour out
похитител;kidnapper
1926;1926
Уест;West
развържа;untied
възбуждам;excite
северно;north
фосфат;phosphate
досещам;I guess
придвижа;moves
индивидуално;individually
инженерингов;engineering
донасям;I bring
линеен;linear
Фуке;Fouquet
дистанция;distance
ш;w
Джоузеф;Joseph
жеков;жеков
пехота;infantry
1200;1200
булка;the bride
мачта;mast
фармакологичен;pharmacological
киев;Kyiv
светилище;sanctuary
янко;yanko
Найвероятно;Most likely
клирънс;clearance
светла;light
съвършенство;perfection
екипировка;equipment
GSM;GSM
мъничко;a little
Ариана;Ariana
намеквам;I hint
news;news
ало;hello
додето;until
Найдобре;The best
везна;scales
двадесети;twentieth
дера;dera
разпореждам;I order
супер;super
Каравелов;Каравелов
немалко;quite a few
прибягвам;I resort
божичко;Goddess
гривна;bracelet
етикетиране;labeling
Cat;Cat
Левин;Levin
шипка;rosehip
австралийски;Australian
спора;dispute
km²;km²
ратифицирам;ratify
дуло;barrel
инвестиране;investing
етичен;ethical
хроника;chronicle
НАП;NAP
пределен;limited
гостна;living room
препусна;rushed
фамилен;family
зор;zor
канцлер;Chancellor
разпад;disintegration
вроден;congenital
задавя;chokes
цигулка;violin
рио;rio
кандидатка;candidate
ОССЕ;OSCE
антонов;Antonov
заселя;settled
спомогна;helped
ба;ba
снема;take off
мол;mall
окупирам;occupy
разиграя;playing
вдъхновение;inspiration
разпадане;disintegration
Ст;St.
ЦК;CC
прехвърлям;transfer
дървесина;wood
синтез;synthesis
съпротивлявам;resist
диагностик;diagnostic
обкръжение;surroundings
кълна;I swear
леща;lentils
EI;EI
изслушване;hearing
Джини;Ginny
движим;I move
жито;wheat
заряд;charge
Миранда;Miranda
лакът;the elbow
превъзходство;superiority
ЗНП;ZNP
изблик;outburst
изрежа;cut out
пациентка;patient
влагам;I invest
мотивация;motivation
нийл;nil
подведа;lead
простен;simple
схващам;I understand
Тадич;Tadic
дузпа;penalty
резюме;summary
настояване;insistence
носен;worn
ранчо;ranch
Челси;Chelsea
консумирам;I consume
обобщение;summary
паралелен;parallel
повторение;repetition
проектен;project
изпея;sing
Теди;Teddy
дихателен;respiratory
укрепление;strengthening
Мехмед;Mehmed
пат;pat
трик;trick
139;139
1873;1873
солунски;Thessaloniki
бдя;watch
концерн;concern
уморено;tired
лъжлив;FALSE
найизвестните;the most famous
1907;1907
одитор;auditor
плитка;tile
успореден;parallel
Дж;J.
Ш;Sh
